% Model,verification_1a.mph
% Version,COMSOL 5.2.0.220
% Date,"May 17 2017, 10:03"
% Table,Probe Table 6 - 
% wm ,"mf.Az*2*pi*fs*1[m]*1i (V), EAplus","mf.Az*2*pi*fs*1[m]*1i (V), ECminus","mf.Az*2*pi*fs*1[m]*1i (V), EBplus","mf.Az*2*pi*fs*1[m]*1i (V), EAminus","mf.Az*2*pi*fs*1[m]*1i (V), ECplus","mf.Az*2*pi*fs*1[m]*1i (V), EBminus","mf.normJ^2/sigma_aluminum*1[m] (W), Pcoat","mf.normJ^2/sigma_iron*1[m] (W), Psteel",mf.Tax_1*2 (N*m)
950,-0.08130549573094399+0.2700122151549603i,0.1931848461543816+0.2054186910807574i,0.27449015498312423-0.06459362377102547i,0.081305508044522-0.2700122375901356i,-0.19318494050216817-0.20541862293821037i,-0.2744901796903669+0.06459362611787174i,1502.3728944205855,14.088437769513149,-2.5992062302891163
975,-0.07885446584148555+0.26884548331240427i,0.19339994857466658+0.20271267591947156i,0.27225422668731863-0.0661329218592039i,0.07885448120834108-0.2688455081570747i,-0.19340004436935604-0.20271261339380503i,-0.27225425141486825+0.06613292368569663i,1521.1247209437843,13.789096572658927,-2.5179782643792854
1000,-0.07660511829262433+0.26778124520424057i,0.19360297133660315+0.20023256972613596i,0.27020790215717344-0.06754880378627633i,0.07660513694921717-0.2677812724188414i,-0.19360306828322843-0.2002325128296593i,-0.2702079267732451+0.06754880501594278i,1539.9735458004047,13.493620485302838,-2.4433716356184196
1025,-0.07453557166201381+0.26680423657861074i,0.1937916359963756+0.1979517904675344i,0.26832702136090364-0.06885258733877782i,0.0745355938500536-0.26680426610271124i,-0.19379173380411904-0.19795173920608153i,-0.2683270457349003+0.06885258790570624i,1558.9493266223153,13.202871042495149,-2.3746732742527987
1050,-0.0726268268404273+0.2659018849368282i,0.1939645540711775+0.19584759815552485i,0.2665911965615301-0.07005444002212124i,0.0726268528042302-0.2659019166887124i,-0.1939646524521882-0.1958475525275377i,-0.2665912205641666+0.07005443987042703i,1578.0741687539794,12.917479237709811,-2.311263777789221
1075,-0.070862323261703+0.26506376752515765i,0.19412097953184485+0.19390043952392993i,0.264983121037084-0.07116349237247165i,0.07086235324567995-0.26506380140171787i,-0.19412107820048546-0.1939003995195184i,-0.2649831445405264+0.07116349145583567i,1597.3639240967611,12.637891549896764,-2.2526029857340357
1100,-0.06922757150012093+0.2642811918492301i,0.19426062921962753+0.19209342010345076i,0.2634880220925946-0.07218794639390404i,0.06922760574642792-0.26428122772613527i,-0.194260727892086-0.1920933857034896i,-0.2634880449706226+0.07218794467516788i,1616.8294291136917,12.364407328300747,-2.1982180394147735
1125,-0.06770984818444396+0.2635468682173137i,0.19438355180404837+0.19041187627927783i,0.2620932249300226-0.07313517604225397i,0.06770988693077917-0.2635469059493887i,-0.19438365019824727-0.19041184745455997i,-0.2620932470582164+0.07313517349306815i,1636.4774732296776,12.097209204163015,-2.147693469355468
1150,-0.06629794180675244+0.26285465204160835i,0.19449003170561088+0.18884302630427002i,0.2607878023780476-0.07401181851184736i,0.06629798528430558-0.26285469146342694i,-0.19449012954137637-0.188843003014769i,-0.2607878236339981+0.07401181511235672i,1656.31156390065,11.836387837207374,-2.10066293828871
1175,-0.06498194017473938+0.2621993394754357i,0.19458051838701215+0.18737568404470695i,0.25956229163402145-0.07482385612589759i,0.06498198860630046-0.2621993804020837i,-0.1945806153864433-0.18737566623895785i,-0.2595623118975603+0.0748238518644496i,1676.3325369158297,11.581962037327058,-2.0568023385747636
1200,-0.06375305202350988+0.26157650416614897i,0.19465557417183513+0.18600002286713743i,0.25840846369306325-0.07557668920177933i,0.06375310562172398-0.2615765463941318i,-0.1946556700598287-0.18600001048174641i,-0.25840848284652895+0.07557668407464917i,1696.5390478199129,11.333895099025007,-2.0158240003582986
